;Unnamed: 0;text;step1;tokens;final_tokens;step2;finalText_str;ProcessedText
495;495;i wanna feel good again;wanna feel good again;['wan', 'na', 'feel', 'good', 'again'];['wan', 'na', 'feel', 'good', 'again'];wan na feel good again;wan na feel good again;wan na feel good again
496;496;i never feel like im not supporting;never feel like im not supporting;['never', 'feel', 'like', 'im', 'not', 'supporting'];['never', 'feel', 'like', 'im', 'not', 'supporting'];never feel like im not supporting;never feel like im not supporting;never feel like not supporting
497;497;i want you to snap out of it and simply feel simply live laugh enjoy this life no matter how idiotic it is;want you to snap out of it and simply feel simply live laugh enjoy this life no matter how idiotic it is;['want', 'you', 'to', 'snap', 'out', 'of', 'it', 'and', 'simply', 'feel', 'simply', 'live', 'laugh', 'enjoy', 'this', 'life', 'no', 'matter', 'how', 'idiotic', 'it', 'is'];['want', 'you', 'to', 'snap', 'out', 'of', 'it', 'and', 'simply', 'feel', 'simply', 'live', 'laugh', 'enjoy', 'this', 'life', 'no', 'matter', 'how', 'idiotic', 'it', 'is'];want you to snap out of it and simply feel simply live laugh enjoy this life no matter how idiotic it is;want you to snap out of it and simply feel simply live laugh enjoy this life no matter how idiotic it is;want you snap out of it simply feel simply live laugh enjoy this life no matter how idiotic it is
498;498;i assumed it would feel casual;assumed it would feel casual;['assumed', 'it', 'would', 'feel', 'casual'];['assumed', 'it', 'would', 'feel', 'casual'];assumed it would feel casual;assumed it would feel casual;assumed it would feel casual
499;499;i will admit and it left me feeling shaken and a bit of a goose;will admit and it left me feeling shaken and bit of goose;['will', 'admit', 'and', 'it', 'left', 'me', 'feeling', 'shaken', 'and', 'bit', 'of', 'goose'];['will', 'admit', 'and', 'it', 'left', 'me', 'feeling', 'shaken', 'and', 'bit', 'of', 'goose'];will admit and it left me feeling shaken and bit of goose;will admit and it left me feeling shaken and bit of goose;will admit it left me feeling shaken bit of goose
500;500;i feel it is dangerous especially for the new believer who is not grounded in the word of god;feel it is dangerous especially for the new believer who is not grounded in the word of god;['feel', 'it', 'is', 'dangerous', 'especially', 'for', 'the', 'new', 'believer', 'who', 'is', 'not', 'grounded', 'in', 'the', 'word', 'of', 'god'];['feel', 'it', 'is', 'dangerous', 'especially', 'for', 'the', 'new', 'believer', 'who', 'is', 'not', 'grounded', 'in', 'the', 'word', 'of', 'god'];feel it is dangerous especially for the new believer who is not grounded in the word of god;feel it is dangerous especially for the new believer who is not grounded in the word of god;feel it is dangerous especially for the new believer who is not grounded in the word of god
501;501;when we rearranged furniture in our flat and got stuck in a chair;when we rearranged furniture in our flat and got stuck in chair;['when', 'we', 'rearranged', 'furniture', 'in', 'our', 'flat', 'and', 'got', 'stuck', 'in', 'chair'];['when', 'we', 'rearranged', 'furniture', 'in', 'our', 'flat', 'and', 'got', 'stuck', 'in', 'chair'];when we rearranged furniture in our flat and got stuck in chair;when we rearranged furniture in our flat and got stuck in chair;when we rearranged furniture in our flat got stuck in chair
502;502;i am feeling stressed and more than a bit anxious;am feeling stressed and more than bit an;['am', 'feeling', 'stressed', 'and', 'more', 'than', 'bit', 'an'];['am', 'feeling', 'stressed', 'and', 'more', 'than', 'bit', 'an'];am feeling stressed and more than bit an;am feeling stressed and more than bit an;am feeling stressed more than bit an
503;503;i persevered through the storm of rejections feeling confident that i was doing what god had called me to do;persevered through the storm of rejections feeling confident that was doing what god had called me to do;['persevered', 'through', 'the', 'storm', 'of', 'rejections', 'feeling', 'confident', 'that', 'was', 'doing', 'what', 'god', 'had', 'called', 'me', 'to', 'do'];['persevered', 'through', 'the', 'storm', 'of', 'rejections', 'feeling', 'confident', 'that', 'was', 'doing', 'what', 'god', 'had', 'called', 'me', 'to', 'do'];persevered through the storm of rejections feeling confident that was doing what god had called me to do;persevered through the storm of rejections feeling confident that was doing what god had called me to do;persevered through the storm of rejections feeling confident that was doing what god had called me do
504;504;i was feeling comfortable in the first fight i saw things that were working for me but i m expecting a better rendall munroe because i think he might have underestimated me first time around;was feeling comfortable in the first fight saw things that were working for me but better rendall munroe because think he might have underestimated me first time around;['was', 'feeling', 'comfortable', 'in', 'the', 'first', 'fight', 'saw', 'things', 'that', 'were', 'working', 'for', 'me', 'but', 'better', 'rendall', 'munroe', 'because', 'think', 'he', 'might', 'have', 'underestimated', 'me', 'first', 'time', 'around'];['was', 'feeling', 'comfortable', 'in', 'the', 'first', 'fight', 'saw', 'things', 'that', 'were', 'working', 'for', 'me', 'but', 'better', 'rendall', 'munroe', 'because', 'think', 'he', 'might', 'have', 'underestimated', 'me', 'first', 'time', 'around'];was feeling comfortable in the first fight saw things that were working for me but better rendall munroe because think he might have underestimated me first time around;was feeling comfortable in the first fight saw things that were working for me but better rendall munroe because think he might have underestimated me first time around;was feeling comfortable in the first fight saw things that were working for me but better rendall munroe because think he might have underestimated me first time around
505;505;im not quite sure how she really feels about it because im pretty sure that she realizes that she is going to miss getting to watch the parade which is something she really enjoys;im not quite sure how she really feels about it because im pretty sure that she realizes that she is going to miss getting to watch the parade which is something she really enjoys;['im', 'not', 'quite', 'sure', 'how', 'she', 'really', 'feels', 'about', 'it', 'because', 'im', 'pretty', 'sure', 'that', 'she', 'realizes', 'that', 'she', 'is', 'going', 'to', 'miss', 'getting', 'to', 'watch', 'the', 'parade', 'which', 'is', 'something', 'she', 'really', 'enjoys'];['im', 'not', 'quite', 'sure', 'how', 'she', 'really', 'feels', 'about', 'it', 'because', 'im', 'pretty', 'sure', 'that', 'she', 'realizes', 'that', 'she', 'is', 'going', 'to', 'miss', 'getting', 'to', 'watch', 'the', 'parade', 'which', 'is', 'something', 'she', 'really', 'enjoys'];im not quite sure how she really feels about it because im pretty sure that she realizes that she is going to miss getting to watch the parade which is something she really enjoys;im not quite sure how she really feels about it because im pretty sure that she realizes that she is going to miss getting to watch the parade which is something she really enjoys;not quite sure how she really feels about it because pretty sure that she realizes that she is going miss getting watch the parade which is something she really enjoys
506;506;i feel somewhat fake in the group;feel somewhat fake in the group;['feel', 'somewhat', 'fake', 'in', 'the', 'group'];['feel', 'somewhat', 'fake', 'in', 'the', 'group'];feel somewhat fake in the group;feel somewhat fake in the group;feel somewhat fake in the group
507;507;i was feeling particularly pissed off and wanted to go to a party;was feeling particularly pissed off and wanted to go to party;['was', 'feeling', 'particularly', 'pissed', 'off', 'and', 'wanted', 'to', 'go', 'to', 'party'];['was', 'feeling', 'particularly', 'pissed', 'off', 'and', 'wanted', 'to', 'go', 'to', 'party'];was feeling particularly pissed off and wanted to go to party;was feeling particularly pissed off and wanted to go to party;was feeling particularly pissed off wanted go party
508;508;i feel like im still quite bad at describing my feelings with good words and beautiful phrases;feel like im still quite bad at describing my feelings with good words and beautiful phrases;['feel', 'like', 'im', 'still', 'quite', 'bad', 'at', 'describing', 'my', 'feelings', 'with', 'good', 'words', 'and', 'beautiful', 'phrases'];['feel', 'like', 'im', 'still', 'quite', 'bad', 'at', 'describing', 'my', 'feelings', 'with', 'good', 'words', 'and', 'beautiful', 'phrases'];feel like im still quite bad at describing my feelings with good words and beautiful phrases;feel like im still quite bad at describing my feelings with good words and beautiful phrases;feel like still quite bad at describing my feelings with good words beautiful phrases
509;509;i feel so heartbroken over paul walker s tragic disappearance the life of someone so generous beautiful and talented should not end this way as other horrible individuals keep on living torturing assaulting and killing people;feel so heartbroken over paul walker tragic disappearance the life of someone so generous beautiful and talented should not end this way as other horrible individuals keep on living torturing assaulting and killing people;['feel', 'so', 'heartbroken', 'over', 'paul', 'walker', 'tragic', 'disappearance', 'the', 'life', 'of', 'someone', 'so', 'generous', 'beautiful', 'and', 'talented', 'should', 'not', 'end', 'this', 'way', 'as', 'other', 'horrible', 'individuals', 'keep', 'on', 'living', 'torturing', 'assaulting', 'and', 'killing', 'people'];['feel', 'so', 'heartbroken', 'over', 'paul', 'walker', 'tragic', 'disappearance', 'the', 'life', 'of', 'someone', 'so', 'generous', 'beautiful', 'and', 'talented', 'should', 'not', 'end', 'this', 'way', 'as', 'other', 'horrible', 'individuals', 'keep', 'on', 'living', 'torturing', 'assaulting', 'and', 'killing', 'people'];feel so heartbroken over paul walker tragic disappearance the life of someone so generous beautiful and talented should not end this way as other horrible individuals keep on living torturing assaulting and killing people;feel so heartbroken over paul walker tragic disappearance the life of someone so generous beautiful and talented should not end this way as other horrible individuals keep on living torturing assaulting and killing people;feel so heartbroken over paul walker tragic disappearance the life of someone so generous beautiful talented should not end this way as other horrible individuals keep on living torturing assaulting killing people
510;510;i feel perfectly mellow;feel perfectly mellow;['feel', 'perfectly', 'mellow'];['feel', 'perfectly', 'mellow'];feel perfectly mellow;feel perfectly mellow;feel perfectly mellow
511;511;i feel i have to give credit to jen mitchell for her gorgeous card a href http www;feel have to give credit to jen mitchell for her gorgeous card href http www;['feel', 'have', 'to', 'give', 'credit', 'to', 'jen', 'mitchell', 'for', 'her', 'gorgeous', 'card', 'href', 'http', 'www'];['feel', 'have', 'to', 'give', 'credit', 'to', 'jen', 'mitchell', 'for', 'her', 'gorgeous', 'card', 'href', 'http', 'www'];feel have to give credit to jen mitchell for her gorgeous card href http www;feel have to give credit to jen mitchell for her gorgeous card href http www;feel have give credit jen mitchell for her gorgeous card href http www
512;512;i am alternating between feeling thrilled to see my dads family this weekend and terrified that i will be a black sheep among their normalcy;am alternating between feeling thrilled to see my dads family this weekend and terrified that will be black sheep among their normalcy;['am', 'alternating', 'between', 'feeling', 'thrilled', 'to', 'see', 'my', 'dads', 'family', 'this', 'weekend', 'and', 'terrified', 'that', 'will', 'be', 'black', 'sheep', 'among', 'their', 'normalcy'];['am', 'alternating', 'between', 'feeling', 'thrilled', 'to', 'see', 'my', 'dads', 'family', 'this', 'weekend', 'and', 'terrified', 'that', 'will', 'be', 'black', 'sheep', 'among', 'their', 'normalcy'];am alternating between feeling thrilled to see my dads family this weekend and terrified that will be black sheep among their normalcy;am alternating between feeling thrilled to see my dads family this weekend and terrified that will be black sheep among their normalcy;am alternating between feeling thrilled see my dads family this weekend terrified that will be black sheep among their normalcy
513;513;i feel for my sweet boy;feel for my sweet boy;['feel', 'for', 'my', 'sweet', 'boy'];['feel', 'for', 'my', 'sweet', 'boy'];feel for my sweet boy;feel for my sweet boy;feel for my sweet boy
514;514;i feel about as helpless and superfluous as i did when jenn had elaine naturally;feel about as helpless and superfluous as did when jenn had elaine naturally;['feel', 'about', 'as', 'helpless', 'and', 'superfluous', 'as', 'did', 'when', 'jenn', 'had', 'elaine', 'naturally'];['feel', 'about', 'as', 'helpless', 'and', 'superfluous', 'as', 'did', 'when', 'jenn', 'had', 'elaine', 'naturally'];feel about as helpless and superfluous as did when jenn had elaine naturally;feel about as helpless and superfluous as did when jenn had elaine naturally;feel about as helpless superfluous as when jenn had elaine naturally
515;515;i thought i didnt feel anything anymore it was over it was ok well today a different story i feel him i want him my heart hurts thinking he wont be around i still want him around i guess its still valid;thought didnt feel anything anymore it was over it was ok well today different story feel him want him my heart hurts thinking he wont be around still want him around guess its still valid;['thought', 'didnt', 'feel', 'anything', 'anymore', 'it', 'was', 'over', 'it', 'was', 'ok', 'well', 'today', 'different', 'story', 'feel', 'him', 'want', 'him', 'my', 'heart', 'hurts', 'thinking', 'he', 'wont', 'be', 'around', 'still', 'want', 'him', 'around', 'guess', 'its', 'still', 'valid'];['thought', 'didnt', 'feel', 'anything', 'anymore', 'it', 'was', 'over', 'it', 'was', 'ok', 'well', 'today', 'different', 'story', 'feel', 'him', 'want', 'him', 'my', 'heart', 'hurts', 'thinking', 'he', 'wont', 'be', 'around', 'still', 'want', 'him', 'around', 'guess', 'its', 'still', 'valid'];thought didnt feel anything anymore it was over it was ok well today different story feel him want him my heart hurts thinking he wont be around still want him around guess its still valid;thought didnt feel anything anymore it was over it was ok well today different story feel him want him my heart hurts thinking he wont be around still want him around guess its still valid;thought didnt feel anything anymore it was over it was well today different story feel him want him my heart hurts thinking he wont be around still want him around guess its still valid
516;516;im feeling better so hopefully things start falling back into the old routine;im feeling better so hopefully things start falling back into the old routine;['im', 'feeling', 'better', 'so', 'hopefully', 'things', 'start', 'falling', 'back', 'into', 'the', 'old', 'routine'];['im', 'feeling', 'better', 'so', 'hopefully', 'things', 'start', 'falling', 'back', 'into', 'the', 'old', 'routine'];im feeling better so hopefully things start falling back into the old routine;im feeling better so hopefully things start falling back into the old routine;feeling better so hopefully things start falling back into the old routine
517;517;i hope you feel incredibly cool now;hope you feel incredibly cool now;['hope', 'you', 'feel', 'incredibly', 'cool', 'now'];['hope', 'you', 'feel', 'incredibly', 'cool', 'now'];hope you feel incredibly cool now;hope you feel incredibly cool now;hope you feel incredibly cool now
518;518;i watched the news at the tv;watched the news at the tv;['watched', 'the', 'news', 'at', 'the', 'tv'];['watched', 'the', 'news', 'at', 'the', 'tv'];watched the news at the tv;watched the news at the tv;watched the news at the tv
519;519;i didn t really go looking for it but i can definately see where the enjorlas marius ship comes from though sadly i feel it s mostly one sided and that marius is nothing more than a rich schoolboy following his whims without thoughts to the concequences;didn really go looking for it but can definately see where the enjorlas marius ship comes from though sadly feel it mostly one sided and that marius is nothing more than rich schoolboy following his whims without thoughts to the concequences;['didn', 'really', 'go', 'looking', 'for', 'it', 'but', 'can', 'definately', 'see', 'where', 'the', 'enjorlas', 'marius', 'ship', 'comes', 'from', 'though', 'sadly', 'feel', 'it', 'mostly', 'one', 'sided', 'and', 'that', 'marius', 'is', 'nothing', 'more', 'than', 'rich', 'schoolboy', 'following', 'his', 'whims', 'without', 'thoughts', 'to', 'the', 'concequences'];['didn', 'really', 'go', 'looking', 'for', 'it', 'but', 'can', 'definately', 'see', 'where', 'the', 'enjorlas', 'marius', 'ship', 'comes', 'from', 'though', 'sadly', 'feel', 'it', 'mostly', 'one', 'sided', 'and', 'that', 'marius', 'is', 'nothing', 'more', 'than', 'rich', 'schoolboy', 'following', 'his', 'whims', 'without', 'thoughts', 'to', 'the', 'concequences'];didn really go looking for it but can definately see where the enjorlas marius ship comes from though sadly feel it mostly one sided and that marius is nothing more than rich schoolboy following his whims without thoughts to the concequences;didn really go looking for it but can definately see where the enjorlas marius ship comes from though sadly feel it mostly one sided and that marius is nothing more than rich schoolboy following his whims without thoughts to the concequences;didn really go looking for it but can definately see where the enjorlas marius ship comes from though sadly feel it mostly one sided that marius is nothing more than rich schoolboy following his whims without thoughts the concequences
520;520;i feel i should as a gracious gesture apologizing for my latest post about the osp and the rand license terms;feel should as gracious gesture apologizing for my latest post about the osp and the rand license terms;['feel', 'should', 'as', 'gracious', 'gesture', 'apologizing', 'for', 'my', 'latest', 'post', 'about', 'the', 'osp', 'and', 'the', 'rand', 'license', 'terms'];['feel', 'should', 'as', 'gracious', 'gesture', 'apologizing', 'for', 'my', 'latest', 'post', 'about', 'the', 'osp', 'and', 'the', 'rand', 'license', 'terms'];feel should as gracious gesture apologizing for my latest post about the osp and the rand license terms;feel should as gracious gesture apologizing for my latest post about the osp and the rand license terms;feel should as gracious gesture apologizing for my latest post about the osp the rand license terms
521;521;i get people asking me what it feels like to be the most hated man in dallas county said assessor steve helm;get people asking me what it feels like to be the most hated man in dallas county said assessor steve helm;['get', 'people', 'asking', 'me', 'what', 'it', 'feels', 'like', 'to', 'be', 'the', 'most', 'hated', 'man', 'in', 'dallas', 'county', 'said', 'assessor', 'steve', 'helm'];['get', 'people', 'asking', 'me', 'what', 'it', 'feels', 'like', 'to', 'be', 'the', 'most', 'hated', 'man', 'in', 'dallas', 'county', 'said', 'assessor', 'steve', 'helm'];get people asking me what it feels like to be the most hated man in dallas county said assessor steve helm;get people asking me what it feels like to be the most hated man in dallas county said assessor steve helm;get people asking me what it feels like be the most hated man in dallas county said assessor steve helm
522;522;i have reported feeling marginalized intimidated and or subjected to threats of retaliation;have reported feeling marginalized intimidated and or subjected to threats of retaliation;['have', 'reported', 'feeling', 'marginalized', 'intimidated', 'and', 'or', 'subjected', 'to', 'threats', 'of', 'retaliation'];['have', 'reported', 'feeling', 'marginalized', 'intimidated', 'and', 'or', 'subjected', 'to', 'threats', 'of', 'retaliation'];have reported feeling marginalized intimidated and or subjected to threats of retaliation;have reported feeling marginalized intimidated and or subjected to threats of retaliation;have reported feeling marginalized intimidated or subjected threats of retaliation
523;523;im not sure if im more at peace with our situation or if im just not feeling as bitter about it but in the past five months something has changed within me;im not sure if im more at peace with our situation or if im just not feeling as bitter about it but in the past five months something has changed within me;['im', 'not', 'sure', 'if', 'im', 'more', 'at', 'peace', 'with', 'our', 'situation', 'or', 'if', 'im', 'just', 'not', 'feeling', 'as', 'bitter', 'about', 'it', 'but', 'in', 'the', 'past', 'five', 'months', 'something', 'has', 'changed', 'within', 'me'];['im', 'not', 'sure', 'if', 'im', 'more', 'at', 'peace', 'with', 'our', 'situation', 'or', 'if', 'im', 'just', 'not', 'feeling', 'as', 'bitter', 'about', 'it', 'but', 'in', 'the', 'past', 'five', 'months', 'something', 'has', 'changed', 'within', 'me'];im not sure if im more at peace with our situation or if im just not feeling as bitter about it but in the past five months something has changed within me;im not sure if im more at peace with our situation or if im just not feeling as bitter about it but in the past five months something has changed within me;not sure if more at peace with our situation or if just not feeling as bitter about it but in the past five months something has changed within me
524;524;i am feeling profoundly peaceful;am feeling profoundly peaceful;['am', 'feeling', 'profoundly', 'peaceful'];['am', 'feeling', 'profoundly', 'peaceful'];am feeling profoundly peaceful;am feeling profoundly peaceful;am feeling profoundly peaceful
525;525;i feel bad then for not accepting who i am;feel bad then for not accepting who am;['feel', 'bad', 'then', 'for', 'not', 'accepting', 'who', 'am'];['feel', 'bad', 'then', 'for', 'not', 'accepting', 'who', 'am'];feel bad then for not accepting who am;feel bad then for not accepting who am;feel bad then for not accepting who am
526;526;i have tried sorting out the area for the cat houses this lunchtime but i guess after the printer ordeal i am feeling quite uptight so it has been put on hold;have tried sorting out the area for the cat houses this lunchtime but guess after the printer ordeal am feeling quite uptight so it has been put on hold;['have', 'tried', 'sorting', 'out', 'the', 'area', 'for', 'the', 'cat', 'houses', 'this', 'lunchtime', 'but', 'guess', 'after', 'the', 'printer', 'ordeal', 'am', 'feeling', 'quite', 'uptight', 'so', 'it', 'has', 'been', 'put', 'on', 'hold'];['have', 'tried', 'sorting', 'out', 'the', 'area', 'for', 'the', 'cat', 'houses', 'this', 'lunchtime', 'but', 'guess', 'after', 'the', 'printer', 'ordeal', 'am', 'feeling', 'quite', 'uptight', 'so', 'it', 'has', 'been', 'put', 'on', 'hold'];have tried sorting out the area for the cat houses this lunchtime but guess after the printer ordeal am feeling quite uptight so it has been put on hold;have tried sorting out the area for the cat houses this lunchtime but guess after the printer ordeal am feeling quite uptight so it has been put on hold;have tried sorting out the area for the cat houses this lunchtime but guess after the printer ordeal am feeling quite uptight so it has been put on hold
527;527;i made that make me feel dumb and dumber;made that make me feel dumb and dumber;['made', 'that', 'make', 'me', 'feel', 'dumb', 'and', 'dumber'];['made', 'that', 'make', 'me', 'feel', 'dumb', 'and', 'dumber'];made that make me feel dumb and dumber;made that make me feel dumb and dumber;made that make me feel dumb dumber
528;528;i have power feeling to justify their laziness and being bitchy against skinny girls;have power feeling to justify their laziness and being bitchy against skinny girls;['have', 'power', 'feeling', 'to', 'justify', 'their', 'laziness', 'and', 'being', 'bitchy', 'against', 'skinny', 'girls'];['have', 'power', 'feeling', 'to', 'justify', 'their', 'laziness', 'and', 'being', 'bitchy', 'against', 'skinny', 'girls'];have power feeling to justify their laziness and being bitchy against skinny girls;have power feeling to justify their laziness and being bitchy against skinny girls;have power feeling justify their laziness being bitchy against skinny girls
529;529;i feel like my sweet company is finally coming together;feel like my sweet company is finally coming together;['feel', 'like', 'my', 'sweet', 'company', 'is', 'finally', 'coming', 'together'];['feel', 'like', 'my', 'sweet', 'company', 'is', 'finally', 'coming', 'together'];feel like my sweet company is finally coming together;feel like my sweet company is finally coming together;feel like my sweet company is finally coming together
530;530;im making some more mood icons right now to let you see how i feel and think and of course its all charming;im making some more mood icons right now to let you see how feel and think and of course its all charming;['im', 'making', 'some', 'more', 'mood', 'icons', 'right', 'now', 'to', 'let', 'you', 'see', 'how', 'feel', 'and', 'think', 'and', 'of', 'course', 'its', 'all', 'charming'];['im', 'making', 'some', 'more', 'mood', 'icons', 'right', 'now', 'to', 'let', 'you', 'see', 'how', 'feel', 'and', 'think', 'and', 'of', 'course', 'its', 'all', 'charming'];im making some more mood icons right now to let you see how feel and think and of course its all charming;im making some more mood icons right now to let you see how feel and think and of course its all charming;making some more mood icons right now let you see how feel think of course its all charming
531;531;i feel like i am not accepted here i and bucking this force that is coming from all quarters that tells me that something is wrong with me if i am not married with children;feel like am not accepted here and bucking this force that is coming from all quarters that tells me that something is wrong with me if am not married with children;['feel', 'like', 'am', 'not', 'accepted', 'here', 'and', 'bucking', 'this', 'force', 'that', 'is', 'coming', 'from', 'all', 'quarters', 'that', 'tells', 'me', 'that', 'something', 'is', 'wrong', 'with', 'me', 'if', 'am', 'not', 'married', 'with', 'children'];['feel', 'like', 'am', 'not', 'accepted', 'here', 'and', 'bucking', 'this', 'force', 'that', 'is', 'coming', 'from', 'all', 'quarters', 'that', 'tells', 'me', 'that', 'something', 'is', 'wrong', 'with', 'me', 'if', 'am', 'not', 'married', 'with', 'children'];feel like am not accepted here and bucking this force that is coming from all quarters that tells me that something is wrong with me if am not married with children;feel like am not accepted here and bucking this force that is coming from all quarters that tells me that something is wrong with me if am not married with children;feel like am not accepted here bucking this force that is coming from all quarters that tells me that something is wrong with me if am not married with children
532;532;i apologise if the pictures are not very good quality but if youre stuck for ideas feel free to check out the websites in the captions;apologise if the pictures are not very good quality but if youre stuck for ideas feel free to check out the websites in the captions;['apologise', 'if', 'the', 'pictures', 'are', 'not', 'very', 'good', 'quality', 'but', 'if', 'youre', 'stuck', 'for', 'ideas', 'feel', 'free', 'to', 'check', 'out', 'the', 'websites', 'in', 'the', 'captions'];['apologise', 'if', 'the', 'pictures', 'are', 'not', 'very', 'good', 'quality', 'but', 'if', 'youre', 'stuck', 'for', 'ideas', 'feel', 'free', 'to', 'check', 'out', 'the', 'websites', 'in', 'the', 'captions'];apologise if the pictures are not very good quality but if youre stuck for ideas feel free to check out the websites in the captions;apologise if the pictures are not very good quality but if youre stuck for ideas feel free to check out the websites in the captions;apologise if the pictures are not very good quality but if youre stuck for ideas feel free check out the websites in the captions
533;533;i feel fine now even though ive just burned the dinner oops;feel fine now even though ive just burned the dinner oops;['feel', 'fine', 'now', 'even', 'though', 'ive', 'just', 'burned', 'the', 'dinner', 'oops'];['feel', 'fine', 'now', 'even', 'though', 'ive', 'just', 'burned', 'the', 'dinner', 'oops'];feel fine now even though ive just burned the dinner oops;feel fine now even though ive just burned the dinner oops;feel fine now even though ive just burned the dinner oops
534;534;i feel for this divine landmass and all the respect i bear in my heart for the greatness residing on it;feel for this divine landmass and all the respect bear in my heart for the greatness residing on it;['feel', 'for', 'this', 'divine', 'landmass', 'and', 'all', 'the', 'respect', 'bear', 'in', 'my', 'heart', 'for', 'the', 'greatness', 'residing', 'on', 'it'];['feel', 'for', 'this', 'divine', 'landmass', 'and', 'all', 'the', 'respect', 'bear', 'in', 'my', 'heart', 'for', 'the', 'greatness', 'residing', 'on', 'it'];feel for this divine landmass and all the respect bear in my heart for the greatness residing on it;feel for this divine landmass and all the respect bear in my heart for the greatness residing on it;feel for this divine landmass all the respect bear in my heart for the greatness residing on it
535;535;i feel like but im not very fond of that word;feel like but im not very fond of that word;['feel', 'like', 'but', 'im', 'not', 'very', 'fond', 'of', 'that', 'word'];['feel', 'like', 'but', 'im', 'not', 'very', 'fond', 'of', 'that', 'word'];feel like but im not very fond of that word;feel like but im not very fond of that word;feel like but not very fond of that word
536;536;i feel vulnerable not knowing what is to come and i feel like the rest of my life depends on today;feel vulnerable not knowing what is to come and feel like the rest of my life depends on today;['feel', 'vulnerable', 'not', 'knowing', 'what', 'is', 'to', 'come', 'and', 'feel', 'like', 'the', 'rest', 'of', 'my', 'life', 'depends', 'on', 'today'];['feel', 'vulnerable', 'not', 'knowing', 'what', 'is', 'to', 'come', 'and', 'feel', 'like', 'the', 'rest', 'of', 'my', 'life', 'depends', 'on', 'today'];feel vulnerable not knowing what is to come and feel like the rest of my life depends on today;feel vulnerable not knowing what is to come and feel like the rest of my life depends on today;feel vulnerable not knowing what is come feel like the rest of my life depends on today
537;537;i feel so damn agitated;feel so damn agitated;['feel', 'so', 'damn', 'agitated'];['feel', 'so', 'damn', 'agitated'];feel so damn agitated;feel so damn agitated;feel so damn agitated
538;538;i feel confident around him and i am always there if he needs help;feel confident around him and am always there if he needs help;['feel', 'confident', 'around', 'him', 'and', 'am', 'always', 'there', 'if', 'he', 'needs', 'help'];['feel', 'confident', 'around', 'him', 'and', 'am', 'always', 'there', 'if', 'he', 'needs', 'help'];feel confident around him and am always there if he needs help;feel confident around him and am always there if he needs help;feel confident around him am always there if he needs help
539;539;i feel annoyingly isolated in the hostel with all those people talking outside the room etc;feel annoyingly isolated in the hostel with all those people talking outside the room etc;['feel', 'annoyingly', 'isolated', 'in', 'the', 'hostel', 'with', 'all', 'those', 'people', 'talking', 'outside', 'the', 'room', 'etc'];['feel', 'annoyingly', 'isolated', 'in', 'the', 'hostel', 'with', 'all', 'those', 'people', 'talking', 'outside', 'the', 'room', 'etc'];feel annoyingly isolated in the hostel with all those people talking outside the room etc;feel annoyingly isolated in the hostel with all those people talking outside the room etc;feel annoyingly isolated in the hostel with all those people talking outside the room etc
540;540;i feel like alcoholism is something that is widely accepted as the norm in gay culture;feel like alcoholism is something that is widely accepted as the norm in gay culture;['feel', 'like', 'alcoholism', 'is', 'something', 'that', 'is', 'widely', 'accepted', 'as', 'the', 'norm', 'in', 'gay', 'culture'];['feel', 'like', 'alcoholism', 'is', 'something', 'that', 'is', 'widely', 'accepted', 'as', 'the', 'norm', 'in', 'gay', 'culture'];feel like alcoholism is something that is widely accepted as the norm in gay culture;feel like alcoholism is something that is widely accepted as the norm in gay culture;feel like alcoholism is something that is widely accepted as the norm in gay culture
541;541;im just now realizing i didnt have a diet coke today and that makes me feel proud regardless of the other junk i consumed today;im just now realizing didnt have diet coke today and that makes me feel proud regardless of the other junk consumed today;['im', 'just', 'now', 'realizing', 'didnt', 'have', 'diet', 'coke', 'today', 'and', 'that', 'makes', 'me', 'feel', 'proud', 'regardless', 'of', 'the', 'other', 'junk', 'consumed', 'today'];['im', 'just', 'now', 'realizing', 'didnt', 'have', 'diet', 'coke', 'today', 'and', 'that', 'makes', 'me', 'feel', 'proud', 'regardless', 'of', 'the', 'other', 'junk', 'consumed', 'today'];im just now realizing didnt have diet coke today and that makes me feel proud regardless of the other junk consumed today;im just now realizing didnt have diet coke today and that makes me feel proud regardless of the other junk consumed today;just now realizing didnt have diet coke today that makes me feel proud regardless of the other junk consumed today
542;542;i also feel i have accepted my dark side and am finally realizing what of my dark side is healthy;also feel have accepted my dark side and am finally realizing what of my dark side is healthy;['also', 'feel', 'have', 'accepted', 'my', 'dark', 'side', 'and', 'am', 'finally', 'realizing', 'what', 'of', 'my', 'dark', 'side', 'is', 'healthy'];['also', 'feel', 'have', 'accepted', 'my', 'dark', 'side', 'and', 'am', 'finally', 'realizing', 'what', 'of', 'my', 'dark', 'side', 'is', 'healthy'];also feel have accepted my dark side and am finally realizing what of my dark side is healthy;also feel have accepted my dark side and am finally realizing what of my dark side is healthy;also feel have accepted my dark side am finally realizing what of my dark side is healthy
