;text;step1;tokens;final_tokens;step2
390;i sit here writing this i feel unhappy inside;sit here writing this feel unhappy inside;['sit', 'here', 'writing', 'this', 'feel', 'unhappy', 'inside'];['sit', 'here', 'writing', 'this', 'feel', 'unhappy', 'inside'];sit here writing this feel unhappy inside
391;i could feel my mother s sympathetic dread as i was diagnosed;could feel my mother sympathetic dread as was diagnosed;['could', 'feel', 'my', 'mother', 'sympathetic', 'dread', 'as', 'was', 'diagnosed'];['could', 'feel', 'my', 'mother', 'sympathetic', 'dread', 'as', 'was', 'diagnosed'];could feel my mother sympathetic dread as was diagnosed
392;i get disappointed it makes me feel so rejected especially being disappointed by a loved one;get disappointed it makes me feel so rejected especially being disappointed by loved one;['get', 'disappointed', 'it', 'makes', 'me', 'feel', 'so', 'rejected', 'especially', 'being', 'disappointed', 'by', 'loved', 'one'];['get', 'disappointed', 'it', 'makes', 'me', 'feel', 'so', 'rejected', 'especially', 'being', 'disappointed', 'by', 'loved', 'one'];get disappointed it makes me feel so rejected especially being disappointed by loved one
393;i left there feeling brow beaten;left there feeling brow beaten;['left', 'there', 'feeling', 'brow', 'beaten'];['left', 'there', 'feeling', 'brow', 'beaten'];left there feeling brow beaten
394;i am feeling vulnerable nervous worried anxious and a bit lost;am feeling vulnerable nervous worried an and bit lost;['am', 'feeling', 'vulnerable', 'nervous', 'worried', 'an', 'and', 'bit', 'lost'];['am', 'feeling', 'vulnerable', 'nervous', 'worried', 'an', 'and', 'bit', 'lost'];am feeling vulnerable nervous worried an and bit lost
395;i was feeling defeated i usually pick things up easily this way but i just wasn t getting it;was feeling defeated usually pick things up easily this way but just wasn getting it;['was', 'feeling', 'defeated', 'usually', 'pick', 'things', 'up', 'easily', 'this', 'way', 'but', 'just', 'wasn', 'getting', 'it'];['was', 'feeling', 'defeated', 'usually', 'pick', 'things', 'up', 'easily', 'this', 'way', 'but', 'just', 'wasn', 'getting', 'it'];was feeling defeated usually pick things up easily this way but just wasn getting it
396;i am most certainly an acquired taste but lately many of those around me have seemed to feel the taste to be bitter;am most certainly an acquired taste but lately many of those around me have seemed to feel the taste to be bitter;['am', 'most', 'certainly', 'an', 'acquired', 'taste', 'but', 'lately', 'many', 'of', 'those', 'around', 'me', 'have', 'seemed', 'to', 'feel', 'the', 'taste', 'to', 'be', 'bitter'];['am', 'most', 'certainly', 'an', 'acquired', 'taste', 'but', 'lately', 'many', 'of', 'those', 'around', 'me', 'have', 'seemed', 'to', 'feel', 'the', 'taste', 'to', 'be', 'bitter'];am most certainly an acquired taste but lately many of those around me have seemed to feel the taste to be bitter
397;i feel i am rich because my life both real and online is filled with friends and family with whom i would not want to live without;feel am rich because my life both real and online is filled with friends and family with whom would not want to live without;['feel', 'am', 'rich', 'because', 'my', 'life', 'both', 'real', 'and', 'online', 'is', 'filled', 'with', 'friends', 'and', 'family', 'with', 'whom', 'would', 'not', 'want', 'to', 'live', 'without'];['feel', 'am', 'rich', 'because', 'my', 'life', 'both', 'real', 'and', 'online', 'is', 'filled', 'with', 'friends', 'and', 'family', 'with', 'whom', 'would', 'not', 'want', 'to', 'live', 'without'];feel am rich because my life both real and online is filled with friends and family with whom would not want to live without
398;i feel bad saying this because i should be happy but i dont think this way that im going is for me anymore;feel bad saying this because should be happy but dont think this way that im going is for me anymore;['feel', 'bad', 'saying', 'this', 'because', 'should', 'be', 'happy', 'but', 'dont', 'think', 'this', 'way', 'that', 'im', 'going', 'is', 'for', 'me', 'anymore'];['feel', 'bad', 'saying', 'this', 'because', 'should', 'be', 'happy', 'but', 'dont', 'think', 'this', 'way', 'that', 'im', 'going', 'is', 'for', 'me', 'anymore'];feel bad saying this because should be happy but dont think this way that im going is for me anymore
399;ive been feeling afraid a lot lately;ive been feeling afraid lot lately;['ive', 'been', 'feeling', 'afraid', 'lot', 'lately'];['ive', 'been', 'feeling', 'afraid', 'lot', 'lately'];ive been feeling afraid lot lately
400;i see momo feel shy momo hmmm gt me heyy momo;see momo feel shy momo hmmm gt me heyy momo;['see', 'momo', 'feel', 'shy', 'momo', 'hmmm', 'gt', 'me', 'heyy', 'momo'];['see', 'momo', 'feel', 'shy', 'momo', 'hmmm', 'gt', 'me', 'heyy', 'momo'];see momo feel shy momo hmmm gt me heyy momo
401;i feel amused looking at the little turtle who sneaked in with them;feel amused looking at the little turtle who sneaked in with them;['feel', 'amused', 'looking', 'at', 'the', 'little', 'turtle', 'who', 'sneaked', 'in', 'with', 'them'];['feel', 'amused', 'looking', 'at', 'the', 'little', 'turtle', 'who', 'sneaked', 'in', 'with', 'them'];feel amused looking at the little turtle who sneaked in with them
402;i purple month doesnt feel surprised in fact zhuo feng up many pupils all clear xiao her identity dont even say main star feng of young;purple month doesnt feel surprised in fact zhuo feng up many pupils all clear her identity dont even say main star feng of young;['purple', 'month', 'doesnt', 'feel', 'surprised', 'in', 'fact', 'zhuo', 'feng', 'up', 'many', 'pupils', 'all', 'clear', 'her', 'identity', 'dont', 'even', 'say', 'main', 'star', 'feng', 'of', 'young'];['purple', 'month', 'doesnt', 'feel', 'surprised', 'in', 'fact', 'zhuo', 'feng', 'up', 'many', 'pupils', 'all', 'clear', 'her', 'identity', 'dont', 'even', 'say', 'main', 'star', 'feng', 'of', 'young'];purple month doesnt feel surprised in fact zhuo feng up many pupils all clear her identity dont even say main star feng of young
403;i feel like there is no way out being humiliated by asa a guy i was obssessed about who played an embarrassing joke on me getting caught by tabbys wife tabby is a lover i once had who was married and i blindly fell in love with him;feel like there is no way out being humiliated by asa guy was obssessed about who played an embarrassing joke on me getting caught by tabbys wife tabby is lover once had who was married and blindly fell in love with him;['feel', 'like', 'there', 'is', 'no', 'way', 'out', 'being', 'humiliated', 'by', 'asa', 'guy', 'was', 'obssessed', 'about', 'who', 'played', 'an', 'embarrassing', 'joke', 'on', 'me', 'getting', 'caught', 'by', 'tabbys', 'wife', 'tabby', 'is', 'lover', 'once', 'had', 'who', 'was', 'married', 'and', 'blindly', 'fell', 'in', 'love', 'with', 'him'];['feel', 'like', 'there', 'is', 'no', 'way', 'out', 'being', 'humiliated', 'by', 'asa', 'guy', 'was', 'obssessed', 'about', 'who', 'played', 'an', 'embarrassing', 'joke', 'on', 'me', 'getting', 'caught', 'by', 'tabbys', 'wife', 'tabby', 'is', 'lover', 'once', 'had', 'who', 'was', 'married', 'and', 'blindly', 'fell', 'in', 'love', 'with', 'him'];feel like there is no way out being humiliated by asa guy was obssessed about who played an embarrassing joke on me getting caught by tabbys wife tabby is lover once had who was married and blindly fell in love with him
404;i feel like breathing is as delicate as dried rose petals sometimes;feel like breathing is as delicate as dried rose petals sometimes;['feel', 'like', 'breathing', 'is', 'as', 'delicate', 'as', 'dried', 'rose', 'petals', 'sometimes'];['feel', 'like', 'breathing', 'is', 'as', 'delicate', 'as', 'dried', 'rose', 'petals', 'sometimes'];feel like breathing is as delicate as dried rose petals sometimes
405;im thankful because i feel somewhat energetic instead of the dead fish that i would become every time every chemo;im thankful because feel somewhat energetic instead of the dead fish that would become every time every chemo;['im', 'thankful', 'because', 'feel', 'somewhat', 'energetic', 'instead', 'of', 'the', 'dead', 'fish', 'that', 'would', 'become', 'every', 'time', 'every', 'chemo'];['im', 'thankful', 'because', 'feel', 'somewhat', 'energetic', 'instead', 'of', 'the', 'dead', 'fish', 'that', 'would', 'become', 'every', 'time', 'every', 'chemo'];im thankful because feel somewhat energetic instead of the dead fish that would become every time every chemo
406;i feel so honored today and i want to share the emotion and my gratitude because i received a very complimentary email from someone who reads thought provoking perspectives;feel so honored today and want to share the emotion and my gratitude because received very complimentary email from someone who reads thought provoking perspectives;['feel', 'so', 'honored', 'today', 'and', 'want', 'to', 'share', 'the', 'emotion', 'and', 'my', 'gratitude', 'because', 'received', 'very', 'complimentary', 'email', 'from', 'someone', 'who', 'reads', 'thought', 'provoking', 'perspectives'];['feel', 'so', 'honored', 'today', 'and', 'want', 'to', 'share', 'the', 'emotion', 'and', 'my', 'gratitude', 'because', 'received', 'very', 'complimentary', 'email', 'from', 'someone', 'who', 'reads', 'thought', 'provoking', 'perspectives'];feel so honored today and want to share the emotion and my gratitude because received very complimentary email from someone who reads thought provoking perspectives
407;ive tried bare minerals but it makes me feel like my face is dirty;ive tried bare minerals but it makes me feel like my face is dirty;['ive', 'tried', 'bare', 'minerals', 'but', 'it', 'makes', 'me', 'feel', 'like', 'my', 'face', 'is', 'dirty'];['ive', 'tried', 'bare', 'minerals', 'but', 'it', 'makes', 'me', 'feel', 'like', 'my', 'face', 'is', 'dirty'];ive tried bare minerals but it makes me feel like my face is dirty
408;i feel quite passionate about and that is how old should children be to undergo beauty treatments;feel quite passionate about and that is how old should children be to undergo beauty treatments;['feel', 'quite', 'passionate', 'about', 'and', 'that', 'is', 'how', 'old', 'should', 'children', 'be', 'to', 'undergo', 'beauty', 'treatments'];['feel', 'quite', 'passionate', 'about', 'and', 'that', 'is', 'how', 'old', 'should', 'children', 'be', 'to', 'undergo', 'beauty', 'treatments'];feel quite passionate about and that is how old should children be to undergo beauty treatments
409;i feel like i m going to struggle and fail and suffer and be really dumb;feel like going to struggle and fail and suffer and be really dumb;['feel', 'like', 'going', 'to', 'struggle', 'and', 'fail', 'and', 'suffer', 'and', 'be', 'really', 'dumb'];['feel', 'like', 'going', 'to', 'struggle', 'and', 'fail', 'and', 'suffer', 'and', 'be', 'really', 'dumb'];feel like going to struggle and fail and suffer and be really dumb
410;im feel a little bit shy to talked to her for a second but manage myself because i saw from her eyes that theres something with this girl;im feel little bit shy to talked to her for second but manage myself because saw from her eyes that theres something with this girl;['im', 'feel', 'little', 'bit', 'shy', 'to', 'talked', 'to', 'her', 'for', 'second', 'but', 'manage', 'myself', 'because', 'saw', 'from', 'her', 'eyes', 'that', 'theres', 'something', 'with', 'this', 'girl'];['im', 'feel', 'little', 'bit', 'shy', 'to', 'talked', 'to', 'her', 'for', 'second', 'but', 'manage', 'myself', 'because', 'saw', 'from', 'her', 'eyes', 'that', 'theres', 'something', 'with', 'this', 'girl'];im feel little bit shy to talked to her for second but manage myself because saw from her eyes that theres something with this girl
411;i love that this is a place a series with no real heroes and i love that the way the couples in these books fall in love feels just as violent and crazy as the place that they call home;love that this is place series with no real heroes and love that the way the couples in these books fall in love feels just as violent and crazy as the place that they call home;['love', 'that', 'this', 'is', 'place', 'series', 'with', 'no', 'real', 'heroes', 'and', 'love', 'that', 'the', 'way', 'the', 'couples', 'in', 'these', 'books', 'fall', 'in', 'love', 'feels', 'just', 'as', 'violent', 'and', 'crazy', 'as', 'the', 'place', 'that', 'they', 'call', 'home'];['love', 'that', 'this', 'is', 'place', 'series', 'with', 'no', 'real', 'heroes', 'and', 'love', 'that', 'the', 'way', 'the', 'couples', 'in', 'these', 'books', 'fall', 'in', 'love', 'feels', 'just', 'as', 'violent', 'and', 'crazy', 'as', 'the', 'place', 'that', 'they', 'call', 'home'];love that this is place series with no real heroes and love that the way the couples in these books fall in love feels just as violent and crazy as the place that they call home
412;i will feel more lively and full of bounce;will feel more lively and full of bounce;['will', 'feel', 'more', 'lively', 'and', 'full', 'of', 'bounce'];['will', 'feel', 'more', 'lively', 'and', 'full', 'of', 'bounce'];will feel more lively and full of bounce
413;i am and always have been a very sincere nice feeling sociable compassionate helpful girl;am and always have been very sincere nice feeling sociable compassionate helpful girl;['am', 'and', 'always', 'have', 'been', 'very', 'sincere', 'nice', 'feeling', 'sociable', 'compassionate', 'helpful', 'girl'];['am', 'and', 'always', 'have', 'been', 'very', 'sincere', 'nice', 'feeling', 'sociable', 'compassionate', 'helpful', 'girl'];am and always have been very sincere nice feeling sociable compassionate helpful girl
414;i feel like an obnoxious nagging call times everyday tag alonger that he is finally sick of tolerating and is now just giving the cold shoulder;feel like an obno nagging call times everyday tag alonger that he is finally sick of tolerating and is now just giving the cold shoulder;['feel', 'like', 'an', 'obno', 'nagging', 'call', 'times', 'everyday', 'tag', 'alonger', 'that', 'he', 'is', 'finally', 'sick', 'of', 'tolerating', 'and', 'is', 'now', 'just', 'giving', 'the', 'cold', 'shoulder'];['feel', 'like', 'an', 'obno', 'nagging', 'call', 'times', 'everyday', 'tag', 'alonger', 'that', 'he', 'is', 'finally', 'sick', 'of', 'tolerating', 'and', 'is', 'now', 'just', 'giving', 'the', 'cold', 'shoulder'];feel like an obno nagging call times everyday tag alonger that he is finally sick of tolerating and is now just giving the cold shoulder
415;i loved the feeling i got during an amazing slalom run whether it was in training or in a race;loved the feeling got during an amazing slalom run whether it was in training or in race;['loved', 'the', 'feeling', 'got', 'during', 'an', 'amazing', 'slalom', 'run', 'whether', 'it', 'was', 'in', 'training', 'or', 'in', 'race'];['loved', 'the', 'feeling', 'got', 'during', 'an', 'amazing', 'slalom', 'run', 'whether', 'it', 'was', 'in', 'training', 'or', 'in', 'race'];loved the feeling got during an amazing slalom run whether it was in training or in race
416;i was feeling especially shy and awkward because i didn t know many people there;was feeling especially shy and awkward because didn know many people there;['was', 'feeling', 'especially', 'shy', 'and', 'awkward', 'because', 'didn', 'know', 'many', 'people', 'there'];['was', 'feeling', 'especially', 'shy', 'and', 'awkward', 'because', 'didn', 'know', 'many', 'people', 'there'];was feeling especially shy and awkward because didn know many people there
417;im still feeling a little groggy from the lack of sleep so i shall try to replenish it;im still feeling little groggy from the lack of sleep so shall try to replenish it;['im', 'still', 'feeling', 'little', 'groggy', 'from', 'the', 'lack', 'of', 'sleep', 'so', 'shall', 'try', 'to', 'replenish', 'it'];['im', 'still', 'feeling', 'little', 'groggy', 'from', 'the', 'lack', 'of', 'sleep', 'so', 'shall', 'try', 'to', 'replenish', 'it'];im still feeling little groggy from the lack of sleep so shall try to replenish it
418;i have been sitting at home revising today and all in all feeling quite stressed;have been sitting at home revising today and all in all feeling quite stressed;['have', 'been', 'sitting', 'at', 'home', 'revising', 'today', 'and', 'all', 'in', 'all', 'feeling', 'quite', 'stressed'];['have', 'been', 'sitting', 'at', 'home', 'revising', 'today', 'and', 'all', 'in', 'all', 'feeling', 'quite', 'stressed'];have been sitting at home revising today and all in all feeling quite stressed
419;i guess feelings aren t meant to be inhibited or prohibited;guess feelings aren meant to be inhibited or prohibited;['guess', 'feelings', 'aren', 'meant', 'to', 'be', 'inhibited', 'or', 'prohibited'];['guess', 'feelings', 'aren', 'meant', 'to', 'be', 'inhibited', 'or', 'prohibited'];guess feelings aren meant to be inhibited or prohibited
420;i embraced feeling thankful that the middle wall of partition had thus far been broken down;embraced feeling thankful that the middle wall of partition had thus far been broken down;['embraced', 'feeling', 'thankful', 'that', 'the', 'middle', 'wall', 'of', 'partition', 'had', 'thus', 'far', 'been', 'broken', 'down'];['embraced', 'feeling', 'thankful', 'that', 'the', 'middle', 'wall', 'of', 'partition', 'had', 'thus', 'far', 'been', 'broken', 'down'];embraced feeling thankful that the middle wall of partition had thus far been broken down
421;i began to feel very strange;began to feel very strange;['began', 'to', 'feel', 'very', 'strange'];['began', 'to', 'feel', 'very', 'strange'];began to feel very strange
422;i didn t feel pressured or constrained in my choices to behave in a particular way i just felt very busy;didn feel pressured or constrained in my choices to behave in particular way just felt very busy;['didn', 'feel', 'pressured', 'or', 'constrained', 'in', 'my', 'choices', 'to', 'behave', 'in', 'particular', 'way', 'just', 'felt', 'very', 'busy'];['didn', 'feel', 'pressured', 'or', 'constrained', 'in', 'my', 'choices', 'to', 'behave', 'in', 'particular', 'way', 'just', 'felt', 'very', 'busy'];didn feel pressured or constrained in my choices to behave in particular way just felt very busy
423;i had one of my low carb meal bars for breakfast and was feeling smug when i spotted the left over pies muffins and attractive foods;had one of my low carb meal bars for breakfast and was feeling smug when spotted the left over pies muffins and attractive foods;['had', 'one', 'of', 'my', 'low', 'carb', 'meal', 'bars', 'for', 'breakfast', 'and', 'was', 'feeling', 'smug', 'when', 'spotted', 'the', 'left', 'over', 'pies', 'muffins', 'and', 'attractive', 'foods'];['had', 'one', 'of', 'my', 'low', 'carb', 'meal', 'bars', 'for', 'breakfast', 'and', 'was', 'feeling', 'smug', 'when', 'spotted', 'the', 'left', 'over', 'pies', 'muffins', 'and', 'attractive', 'foods'];had one of my low carb meal bars for breakfast and was feeling smug when spotted the left over pies muffins and attractive foods
424;im going through life feeling now rather than being totally numb;im going through life feeling now rather than being totally numb;['im', 'going', 'through', 'life', 'feeling', 'now', 'rather', 'than', 'being', 'totally', 'numb'];['im', 'going', 'through', 'life', 'feeling', 'now', 'rather', 'than', 'being', 'totally', 'numb'];im going through life feeling now rather than being totally numb
425;i dont want flowers or candy but the kind of guy that knows i like thinly sliced limes in my mineral water because it makes me feel glamorous and is humored by how pretentious that is;dont want flowers or candy but the kind of guy that knows like thinly sliced limes in my mineral water because it makes me feel glamorous and is humored by how pretentious that is;['dont', 'want', 'flowers', 'or', 'candy', 'but', 'the', 'kind', 'of', 'guy', 'that', 'knows', 'like', 'thinly', 'sliced', 'limes', 'in', 'my', 'mineral', 'water', 'because', 'it', 'makes', 'me', 'feel', 'glamorous', 'and', 'is', 'humored', 'by', 'how', 'pretentious', 'that', 'is'];['dont', 'want', 'flowers', 'or', 'candy', 'but', 'the', 'kind', 'of', 'guy', 'that', 'knows', 'like', 'thinly', 'sliced', 'limes', 'in', 'my', 'mineral', 'water', 'because', 'it', 'makes', 'me', 'feel', 'glamorous', 'and', 'is', 'humored', 'by', 'how', 'pretentious', 'that', 'is'];dont want flowers or candy but the kind of guy that knows like thinly sliced limes in my mineral water because it makes me feel glamorous and is humored by how pretentious that is
426;i feel unprotected a class post count link href http reprogramming in process;feel unprotected class post count link href http reprogramming in process;['feel', 'unprotected', 'class', 'post', 'count', 'link', 'href', 'http', 'reprogramming', 'in', 'process'];['feel', 'unprotected', 'class', 'post', 'count', 'link', 'href', 'http', 'reprogramming', 'in', 'process'];feel unprotected class post count link href http reprogramming in process
427;i always feel really confident of my life and my choices when i go home;always feel really confident of my life and my choices when go home;['always', 'feel', 'really', 'confident', 'of', 'my', 'life', 'and', 'my', 'choices', 'when', 'go', 'home'];['always', 'feel', 'really', 'confident', 'of', 'my', 'life', 'and', 'my', 'choices', 'when', 'go', 'home'];always feel really confident of my life and my choices when go home
428;i was feeling more and more frustrated with each session he attended;was feeling more and more frustrated with each session he attended;['was', 'feeling', 'more', 'and', 'more', 'frustrated', 'with', 'each', 'session', 'he', 'attended'];['was', 'feeling', 'more', 'and', 'more', 'frustrated', 'with', 'each', 'session', 'he', 'attended'];was feeling more and more frustrated with each session he attended
429;i feel like in the last year especially i ve gone from a girl to a woman and despite how hesitant i have always been about getting older next year i will be twenty four i am surprised at how pleased i am to have done so;feel like in the last year especially ve gone from girl to woman and despite how hesitant have always been about getting older ne year will be twenty four am surprised at how pleased am to have done so;['feel', 'like', 'in', 'the', 'last', 'year', 'especially', 've', 'gone', 'from', 'girl', 'to', 'woman', 'and', 'despite', 'how', 'hesitant', 'have', 'always', 'been', 'about', 'getting', 'older', 'ne', 'year', 'will', 'be', 'twenty', 'four', 'am', 'surprised', 'at', 'how', 'pleased', 'am', 'to', 'have', 'done', 'so'];['feel', 'like', 'in', 'the', 'last', 'year', 'especially', 've', 'gone', 'from', 'girl', 'to', 'woman', 'and', 'despite', 'how', 'hesitant', 'have', 'always', 'been', 'about', 'getting', 'older', 'ne', 'year', 'will', 'be', 'twenty', 'four', 'am', 'surprised', 'at', 'how', 'pleased', 'am', 'to', 'have', 'done', 'so'];feel like in the last year especially ve gone from girl to woman and despite how hesitant have always been about getting older ne year will be twenty four am surprised at how pleased am to have done so
430;i feel attacked or insulted it is helpful to realize that the idea of attack is alive and well in my own mind;feel attacked or insulted it is helpful to realize that the idea of attack is alive and well in my own mind;['feel', 'attacked', 'or', 'insulted', 'it', 'is', 'helpful', 'to', 'realize', 'that', 'the', 'idea', 'of', 'attack', 'is', 'alive', 'and', 'well', 'in', 'my', 'own', 'mind'];['feel', 'attacked', 'or', 'insulted', 'it', 'is', 'helpful', 'to', 'realize', 'that', 'the', 'idea', 'of', 'attack', 'is', 'alive', 'and', 'well', 'in', 'my', 'own', 'mind'];feel attacked or insulted it is helpful to realize that the idea of attack is alive and well in my own mind
431;ive missed that feeling and ive missed being there and ive missed having something to work towards that keeps my focus on me and keeps it off of my phone and the potential trouble it can get me in;ive missed that feeling and ive missed being there and ive missed having something to work towards that keeps my focus on me and keeps it off of my phone and the potential trouble it can get me in;['ive', 'missed', 'that', 'feeling', 'and', 'ive', 'missed', 'being', 'there', 'and', 'ive', 'missed', 'having', 'something', 'to', 'work', 'towards', 'that', 'keeps', 'my', 'focus', 'on', 'me', 'and', 'keeps', 'it', 'off', 'of', 'my', 'phone', 'and', 'the', 'potential', 'trouble', 'it', 'can', 'get', 'me', 'in'];['ive', 'missed', 'that', 'feeling', 'and', 'ive', 'missed', 'being', 'there', 'and', 'ive', 'missed', 'having', 'something', 'to', 'work', 'towards', 'that', 'keeps', 'my', 'focus', 'on', 'me', 'and', 'keeps', 'it', 'off', 'of', 'my', 'phone', 'and', 'the', 'potential', 'trouble', 'it', 'can', 'get', 'me', 'in'];ive missed that feeling and ive missed being there and ive missed having something to work towards that keeps my focus on me and keeps it off of my phone and the potential trouble it can get me in
432;im feeling a bit uncomfortable with myself too;im feeling bit uncomfortable with myself too;['im', 'feeling', 'bit', 'uncomfortable', 'with', 'myself', 'too'];['im', 'feeling', 'bit', 'uncomfortable', 'with', 'myself', 'too'];im feeling bit uncomfortable with myself too
433;i know that i have it nowhere near as worse as my brethren overseas but right now i feel like im being physically emotionally and spiritually assaulted;know that have it nowhere near as worse as my brethren overseas but right now feel like im being physically emotionally and spiritually assaulted;['know', 'that', 'have', 'it', 'nowhere', 'near', 'as', 'worse', 'as', 'my', 'brethren', 'overseas', 'but', 'right', 'now', 'feel', 'like', 'im', 'being', 'physically', 'emotionally', 'and', 'spiritually', 'assaulted'];['know', 'that', 'have', 'it', 'nowhere', 'near', 'as', 'worse', 'as', 'my', 'brethren', 'overseas', 'but', 'right', 'now', 'feel', 'like', 'im', 'being', 'physically', 'emotionally', 'and', 'spiritually', 'assaulted'];know that have it nowhere near as worse as my brethren overseas but right now feel like im being physically emotionally and spiritually assaulted
434;i am feeling so reluctant and overwhelmed i try to think of the alternative abandoning that dream;am feeling so reluctant and overwhelmed try to think of the alternative abandoning that dream;['am', 'feeling', 'so', 'reluctant', 'and', 'overwhelmed', 'try', 'to', 'think', 'of', 'the', 'alternative', 'abandoning', 'that', 'dream'];['am', 'feeling', 'so', 'reluctant', 'and', 'overwhelmed', 'try', 'to', 'think', 'of', 'the', 'alternative', 'abandoning', 'that', 'dream'];am feeling so reluctant and overwhelmed try to think of the alternative abandoning that dream
435;i usually like sam but sometimes he gets downright whiny and i ll admit that all the mistakes he made due to sibling rivalry and pride that eventually led to the end of season kind of made me feel less tragic about the whole thing;usually like sam but sometimes he gets downright whiny and ll admit that all the mistakes he made due to sibling rivalry and pride that eventually led to the end of season kind of made me feel less tragic about the whole thing;['usually', 'like', 'sam', 'but', 'sometimes', 'he', 'gets', 'downright', 'whiny', 'and', 'll', 'admit', 'that', 'all', 'the', 'mistakes', 'he', 'made', 'due', 'to', 'sibling', 'rivalry', 'and', 'pride', 'that', 'eventually', 'led', 'to', 'the', 'end', 'of', 'season', 'kind', 'of', 'made', 'me', 'feel', 'less', 'tragic', 'about', 'the', 'whole', 'thing'];['usually', 'like', 'sam', 'but', 'sometimes', 'he', 'gets', 'downright', 'whiny', 'and', 'll', 'admit', 'that', 'all', 'the', 'mistakes', 'he', 'made', 'due', 'to', 'sibling', 'rivalry', 'and', 'pride', 'that', 'eventually', 'led', 'to', 'the', 'end', 'of', 'season', 'kind', 'of', 'made', 'me', 'feel', 'less', 'tragic', 'about', 'the', 'whole', 'thing'];usually like sam but sometimes he gets downright whiny and ll admit that all the mistakes he made due to sibling rivalry and pride that eventually led to the end of season kind of made me feel less tragic about the whole thing
436;i hope shes feeling generous today and treat me to japanese food or something haha have a great day;hope shes feeling generous today and treat me to japanese food or something haha have great day;['hope', 'shes', 'feeling', 'generous', 'today', 'and', 'treat', 'me', 'to', 'japanese', 'food', 'or', 'something', 'haha', 'have', 'great', 'day'];['hope', 'shes', 'feeling', 'generous', 'today', 'and', 'treat', 'me', 'to', 'japanese', 'food', 'or', 'something', 'haha', 'have', 'great', 'day'];hope shes feeling generous today and treat me to japanese food or something haha have great day
437;i am feeling a bit offended;am feeling bit offended;['am', 'feeling', 'bit', 'offended'];['am', 'feeling', 'bit', 'offended'];am feeling bit offended
438;i offend easily when i feel my intelligence is insulted;offend easily when feel my intelligence is insulted;['offend', 'easily', 'when', 'feel', 'my', 'intelligence', 'is', 'insulted'];['offend', 'easily', 'when', 'feel', 'my', 'intelligence', 'is', 'insulted'];offend easily when feel my intelligence is insulted
439;i always feel a bit awkward when i comment on someone s blog because i invariably go on rabbit trails and feel as though i ve been overstepping myself so i d like to tell you if you find yourself feeling the same way that i do not mind in the slightest;always feel bit awkward when comment on someone blog because invariably go on rabbit trails and feel as though ve been overstepping myself so like to tell you if you find yourself feeling the same way that do not mind in the slightest;['always', 'feel', 'bit', 'awkward', 'when', 'comment', 'on', 'someone', 'blog', 'because', 'invariably', 'go', 'on', 'rabbit', 'trails', 'and', 'feel', 'as', 'though', 've', 'been', 'overstepping', 'myself', 'so', 'like', 'to', 'tell', 'you', 'if', 'you', 'find', 'yourself', 'feeling', 'the', 'same', 'way', 'that', 'do', 'not', 'mind', 'in', 'the', 'slightest'];['always', 'feel', 'bit', 'awkward', 'when', 'comment', 'on', 'someone', 'blog', 'because', 'invariably', 'go', 'on', 'rabbit', 'trails', 'and', 'feel', 'as', 'though', 've', 'been', 'overstepping', 'myself', 'so', 'like', 'to', 'tell', 'you', 'if', 'you', 'find', 'yourself', 'feeling', 'the', 'same', 'way', 'that', 'do', 'not', 'mind', 'in', 'the', 'slightest'];always feel bit awkward when comment on someone blog because invariably go on rabbit trails and feel as though ve been overstepping myself so like to tell you if you find yourself feeling the same way that do not mind in the slightest
440;i feel like we may be coming to the point in the tv series where the show is incredibly popular but sadly the writers are coming to the end of their story lines and soon there will be nothing left to keep the plot a float;feel like we may be coming to the point in the tv series where the show is incredibly popular but sadly the writers are coming to the end of their story lines and soon there will be nothing left to keep the plot float;['feel', 'like', 'we', 'may', 'be', 'coming', 'to', 'the', 'point', 'in', 'the', 'tv', 'series', 'where', 'the', 'show', 'is', 'incredibly', 'popular', 'but', 'sadly', 'the', 'writers', 'are', 'coming', 'to', 'the', 'end', 'of', 'their', 'story', 'lines', 'and', 'soon', 'there', 'will', 'be', 'nothing', 'left', 'to', 'keep', 'the', 'plot', 'float'];['feel', 'like', 'we', 'may', 'be', 'coming', 'to', 'the', 'point', 'in', 'the', 'tv', 'series', 'where', 'the', 'show', 'is', 'incredibly', 'popular', 'but', 'sadly', 'the', 'writers', 'are', 'coming', 'to', 'the', 'end', 'of', 'their', 'story', 'lines', 'and', 'soon', 'there', 'will', 'be', 'nothing', 'left', 'to', 'keep', 'the', 'plot', 'float'];feel like we may be coming to the point in the tv series where the show is incredibly popular but sadly the writers are coming to the end of their story lines and soon there will be nothing left to keep the plot float
